driver_BlockManager_memory_memUsed_MB_value,driver_BlockManager_memory_remainingMem_MB_value,driver_DAGScheduler_messageProcessingTime_m1_rate,driver_DAGScheduler_messageProcessingTime_m5_rate,driver_LiveListenerBus_listenerProcessingTime_org_apache_spark_scheduler_EventLoggingListener_m1_rate,driver_benchmark_userclicks_12_18_10000_500000_batch066_7__StreamingMetrics_streaming_lastCompletedBatch_processingDelay_value,driver_benchmark_userclicks_12_18_10000_500000_batch066_7__StreamingMetrics_streaming_lastReceivedBatch_records_value
-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
0.0,60447.0,2.6,2.6,0.0,-1.0,-1.0
0.0,60447.0,2.6,2.6,4.8,-1.0,-1.0
0.0,60447.0,2.6,2.6,4.8,-1.0,0.0
0.0,60447.0,2.6,2.6,4.8,-1.0,0.0
0.0,60447.0,2.6,2.6,4.8,-1.0,0.0
0.0,60447.0,10.931372,4.322275,4.8,-1.0,0.0
0.0,60447.0,10.931372,4.322275,13.547141,-1.0,0.0
0.0,60447.0,10.931372,4.322275,13.547141,-1.0,0.0
0.0,60447.0,10.931372,4.322275,13.547141,848.0,0.0
0.0,60447.0,10.931372,4.322275,13.547141,848.0,0.0
0.0,60447.0,11.352628,4.518596,13.547141,848.0,0.0
0.0,60447.0,11.352628,4.518596,15.342373,848.0,0.0
0.0,60447.0,11.352628,4.518596,15.342373,848.0,0.0
0.0,60447.0,11.352628,4.518596,15.342373,848.0,0.0
0.0,60447.0,11.352628,4.518596,15.342373,848.0,0.0
0.0,60447.0,10.444922,4.44391,15.342373,848.0,0.0
0.0,60447.0,10.444922,4.44391,14.195620000000002,848.0,0.0
0.0,60447.0,10.444922,4.44391,14.195620000000002,848.0,0.0
0.0,60447.0,10.444922,4.44391,14.195620000000002,226.0,0.0
0.0,60447.0,10.444922,4.44391,14.195620000000002,226.0,0.0
0.0,60447.0,10.905073,4.638221,14.195620000000002,226.0,0.0
0.0,60447.0,10.905073,4.638221,16.002966,226.0,0.0
0.0,60447.0,10.905073,4.638221,16.002966,226.0,0.0
0.0,60447.0,10.905073,4.638221,16.002966,226.0,0.0
0.0,60447.0,10.905073,4.638221,16.002966,226.0,0.0
0.0,60447.0,10.033151,4.561558,16.002966,226.0,0.0
25.0,60422.0,10.033151,4.561558,14.803395000000002,226.0,0.0
151.0,60295.0,10.033151,4.561558,14.803395000000002,226.0,854027.0
216.0,60231.0,10.033151,4.561558,14.803395000000002,226.0,854027.0
344.0,60103.0,10.033151,4.561558,14.803395000000002,1325.0,854027.0
471.0,59976.0,10.59019,4.7671480000000015,14.803395000000002,1325.0,854027.0
567.0,59880.0,10.59019,4.7671480000000015,16.881969,1325.0,854027.0
662.0,59785.0,10.59019,4.7671480000000015,16.881969,1325.0,854027.0
789.0,59658.0,10.59019,4.7671480000000015,16.881969,1325.0,854027.0
884.0,59563.0,10.59019,4.7671480000000015,16.881969,1325.0,854027.0
979.0,59468.0,9.743445,4.688354,16.881969,1325.0,854027.0
1107.0,59340.0,9.743445,4.688354,15.80401,1325.0,854027.0
1202.0,59245.0,9.743445,4.688354,15.80401,1325.0,4796788.0
1297.0,59150.0,9.743445,4.688354,15.80401,1325.0,4796788.0
1385.0,59062.0,9.743445,4.688354,15.80401,1325.0,4796788.0
1513.0,58934.0,10.803381,4.991018,15.80401,2890.0,4796788.0
1616.0,58831.0,10.803381,4.991018,18.410242,2890.0,4796788.0
1743.0,58704.0,10.803381,4.991018,18.410242,2890.0,4796788.0
1838.0,58609.0,10.803381,4.991018,18.410242,2890.0,4796788.0
1933.0,58514.0,10.803381,4.991018,18.410242,2890.0,4796788.0
2061.0,58386.0,9.93959,4.908524,18.410242,2890.0,4796788.0
2156.0,58291.0,9.93959,4.908524,17.210089,2890.0,4796788.0
2251.0,58195.0,9.93959,4.908524,17.210089,2890.0,5400589.0
2379.0,58068.0,9.93959,4.908524,17.210089,2890.0,5400589.0
2474.0,57973.0,9.93959,4.908524,17.210089,2890.0,5400589.0
2571.0,57876.0,10.983842999999998,5.20755,17.210089,2538.0,5400589.0
2698.0,57749.0,10.983842999999998,5.20755,19.799843,2538.0,5400589.0
2792.0,57655.0,10.983842999999998,5.20755,19.799843,2538.0,5400589.0
2886.0,57561.0,10.983842999999998,5.20755,19.799843,2538.0,5400589.0
3006.0,57441.0,10.983842999999998,5.20755,19.799843,2538.0,5400589.0
3101.0,57346.0,10.105623,5.121477,19.799843,2538.0,5400589.0
3195.0,57252.0,10.105623,5.121477,18.520566,2538.0,5400589.0
3322.0,57125.0,10.105623,5.121477,18.520566,2538.0,4799177.0
3417.0,57030.0,10.105623,5.121477,18.520566,2538.0,4799177.0
3513.0,56934.0,10.105623,5.121477,18.520566,2538.0,4799177.0
3641.0,56806.0,11.104618,5.410371,18.520566,2508.0,4799177.0
3736.0,56710.0,11.104618,5.410371,20.973559,2508.0,4799177.0
3832.0,56615.0,11.104618,5.410371,20.973559,2508.0,4799177.0
3959.0,56488.0,11.104618,5.410371,20.973559,2508.0,4799177.0
4054.0,56393.0,11.104618,5.410371,20.973559,2508.0,4799177.0
4150.0,56297.0,10.216742,5.320946,20.973559,2508.0,4799177.0
4278.0,56169.0,10.216742,5.320946,19.552463,2508.0,4799177.0
4374.0,56073.0,10.216742,5.320946,19.552463,2508.0,4797550.0
4469.0,55978.0,10.216742,5.320946,19.552463,2508.0,4797550.0
4587.0,55860.0,10.216742,5.320946,19.552463,2508.0,4797550.0
4605.0,55842.0,11.238835,5.613155,19.552463,2371.0,4797550.0
4702.0,55745.0,11.238835,5.613155,22.066869,2371.0,4797550.0
4829.0,55618.0,11.238835,5.613155,22.066869,2371.0,4797550.0
4924.0,55522.0,11.238835,5.613155,22.066869,2371.0,4797550.0
5020.0,55427.0,11.238835,5.613155,22.066869,2371.0,4797550.0
5146.0,55301.0,10.340227,5.520378,22.066869,2371.0,4797550.0
5242.0,55205.0,10.340227,5.520378,20.574349,2371.0,4797550.0
5337.0,55110.0,10.340227,5.520378,20.574349,2371.0,5400432.0
5464.0,54982.0,10.340227,5.520378,20.574349,2371.0,5400432.0
5561.0,54886.0,10.340227,5.520378,20.574349,2371.0,5400432.0
4574.0,55873.0,11.352447,5.80929,20.574349,2409.0,5400432.0
4702.0,55745.0,11.352447,5.80929,24.798055,2409.0,5400432.0
4798.0,55649.0,11.352447,5.80929,24.798055,2409.0,5400432.0
4893.0,55553.0,11.352447,5.80929,24.798055,2409.0,5400432.0
5020.0,55426.0,11.352447,5.80929,24.798055,2409.0,5400432.0
5116.0,55331.0,10.444755,5.713271,24.798055,2409.0,5400432.0
5210.0,55237.0,10.444755,5.713271,23.119143,2409.0,5400432.0
5337.0,55109.0,10.444755,5.713271,23.119143,2409.0,4799394.0
5433.0,55014.0,10.444755,5.713271,23.119143,2409.0,4799394.0
5529.0,54918.0,10.444755,5.713271,23.119143,2409.0,4799394.0
4576.0,55871.0,11.416635,5.992384,23.119143,2398.0,4799394.0
4671.0,55776.0,11.416635,5.992384,25.73216,2398.0,4799394.0
4766.0,55680.0,11.416635,5.992384,25.73216,2398.0,4799394.0
4893.0,55554.0,11.416635,5.992384,25.73216,2398.0,4799394.0
4988.0,55458.0,11.416635,5.992384,25.73216,2398.0,4799394.0
5084.0,55363.0,10.503811,5.893339,25.73216,2398.0,4799394.0
5211.0,55236.0,10.503811,5.893339,23.946579,2398.0,4799394.0
5307.0,55140.0,10.503811,5.893339,23.946579,2398.0,4797243.0
5402.0,55045.0,10.503811,5.893339,23.946579,2398.0,4797243.0
5530.0,54917.0,10.503811,5.893339,23.946579,2398.0,4797243.0
4619.0,55828.0,11.502951,6.176087,23.946579,2408.0,4797243.0
4715.0,55732.0,11.502951,6.176087,26.541411,2408.0,4797243.0
4842.0,55605.0,11.502951,6.176087,26.541411,2408.0,4797243.0
4938.0,55509.0,11.502951,6.176087,26.541411,2408.0,4797243.0
5033.0,55414.0,11.502951,6.176087,26.541411,2408.0,4797243.0
5160.0,55287.0,10.583226,6.0740050000000005,26.541411,2408.0,4797243.0
5255.0,55192.0,10.583226,6.0740050000000005,24.691126,2408.0,4797243.0
5350.0,55097.0,10.583226,6.0740050000000005,24.691126,2408.0,5398708.0
5413.0,55034.0,10.583226,6.0740050000000005,24.691126,2408.0,5398708.0
5547.0,54900.0,10.583226,6.0740050000000005,24.691126,2408.0,5398708.0
4575.0,55872.0,11.576017,6.353767,24.691126,2434.0,5398708.0
4714.0,55733.0,11.576017,6.353767,27.226428,2434.0,5398708.0
4810.0,55637.0,11.576017,6.353767,27.226428,2434.0,5398708.0
4905.0,55542.0,11.576017,6.353767,27.226428,2434.0,5398708.0
5032.0,55415.0,11.576017,6.353767,27.226428,2434.0,5398708.0
5128.0,55319.0,10.650449,6.248749,27.226428,2434.0,5398708.0
5222.0,55224.0,10.650449,6.248749,25.353354,2434.0,5398708.0
5347.0,55100.0,10.650449,6.248749,25.353354,2434.0,4796811.0
5441.0,55006.0,10.650449,6.248749,25.353354,2434.0,4796811.0
4453.0,55994.0,10.650449,6.248749,25.353354,1976.0,4796811.0
4580.0,55867.0,11.605883,6.519011,25.353354,1976.0,4796811.0
4676.0,55771.0,11.605883,6.519011,27.803725,1976.0,4796811.0
4771.0,55676.0,11.605883,6.519011,27.803725,1976.0,4796811.0
4899.0,55548.0,11.605883,6.519011,27.803725,1976.0,4796811.0
4994.0,55453.0,11.605883,6.519011,27.803725,1976.0,4796811.0
5089.0,55358.0,10.677928,6.4112620000000025,27.803725,1976.0,4796811.0
